route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
G2,S2303-AMD-Weekday-57,3948704-S2303-AMD-Weekday-57,"Belmont/Dwight Rd/E Long Ind Park",1,418870,G20923,1,1
G2,S2303-AMD-Weekday-57,3948705-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418863,G20911,1,1
G2,S2303-AMD-Weekday-57,3948706-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418870,G20911,1,1
G2,S2303-AMD-Weekday-57,3948707-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418863,G20911,1,1
G2,S2303-AMD-Weekday-57,3948708-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418870,G20911,1,1
G2,S2303-AMD-Weekday-57,3948709-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418863,G20911,1,1
G2,S2303-AMD-Weekday-57,3948710-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418870,G20911,1,1
G2,S2303-AMD-Weekday-57,3948711-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418863,G20911,1,1
G2,S2303-AMD-Weekday-57,3948712-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418957,G20911,1,1
G2,S2303-AMD-Weekday-57,3948713-S2303-AMD-Weekday-57,"Belmont/Dwight Rd/E Long Ind Park",1,418884,G20923,1,1
G2,S2303-AMD-Weekday-57,3948714-S2303-AMD-Weekday-57,"Dwight Rd/Benton Dr via Belmont",1,418886,G20918,1,1
G2,S2303-AMD-Weekday-57,3948715-S2303-AMD-Weekday-57,"Dwight Rd/Benton Dr via Belmont",1,418884,G20918,1,1
G2,S2303-AMD-Weekday-57,3948716-S2303-AMD-Weekday-57,"Dwight Rd/Benton Dr via Belmont",1,418886,G20918,1,1
G2,S2303-AMD-Weekday-57,3948717-S2303-AMD-Weekday-57,"Dwight Rd/Benton Dr via Belmont",1,418884,G20918,1,1
G2,S2303-AMD-Weekday-57,3948718-S2303-AMD-Weekday-57,"Dwight Rd/Benton Dr via Belmont",1,418886,G20918,1,1
G2,S2303-AMD-Weekday-57,3948719-S2303-AMD-Weekday-57,"Dwight Rd/Benton Dr via Belmont",1,418940,G20918,1,1
G2,S2303-AMD-Weekday-57,3948720-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418886,G20911,1,1
G2,S2303-AMD-Weekday-57,3948721-S2303-AMD-Weekday-57,"Carew to E Spfld via Mercy Hosp.",0,418886,G20908,1,1
G2,S2303-AMD-Weekday-57,3948722-S2303-AMD-Weekday-57,"Carew to E Springfield Cottage St.",0,418870,G20913,1,1
G2,S2303-AMD-Weekday-57,3948723-S2303-AMD-Weekday-57,"Carew to E Spfld via Mercy Hosp.",0,418940,G20908,1,1
G2,S2303-AMD-Weekday-57,3948724-S2303-AMD-Weekday-57,"Carew to E Springfield Cottage St.",0,418884,G20913,1,1
G2,S2303-AMD-Weekday-57,3948725-S2303-AMD-Weekday-57,"Carew to E Spfld via Mercy Hosp.",0,418863,G20908,1,1
G2,S2303-AMD-Weekday-57,3948726-S2303-AMD-Weekday-57,"Carew to E Springfield Cottage St.",0,418886,G20913,1,1
G2,S2303-AMD-Weekday-57,3948727-S2303-AMD-Weekday-57,"Carew to E Spfld via Mercy Hosp.",0,418957,G20908,1,1
G2,S2303-AMD-Weekday-57,3948728-S2303-AMD-Weekday-57,"Carew to E Springfield Cottage St.",0,418940,G20913,1,1
G2,S2303-AMD-Weekday-57,3948729-S2303-AMD-Weekday-57,"Carew to E Spfld via Mercy Hosp.",0,418884,G20908,1,1
G2,S2303-AMD-Weekday-57,3948730-S2303-AMD-Weekday-57,"Carew to E Springfield Cottage St.",0,418863,G20913,1,1
G2,S2303-AMD-Weekday-57,3948731-S2303-AMD-Weekday-57,"Carew to E Spfld via Mercy Hosp.",0,418886,G20908,1,1
G2,S2303-AMD-Weekday-57,3948732-S2303-AMD-Weekday-57,"Carew to E Springfield Cottage St.",0,418957,G20913,1,1
G2,S2303-AMD-Weekday-57,3948733-S2303-AMD-Weekday-57,"Carew to E Spfld via Mercy Hosp.",0,418940,G20908,1,1
G2,S2303-AMD-Weekday-57,3948734-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Union Station",1,418886,G20906,1,1
G2,S2303-AMD-Weekday-57,3948735-S2303-AMD-Weekday-57,"Dwight Rd. via Mercy Hospital and Union Station",1,418957,G20912,1,1
G2,S2303-AMD-Weekday-57,3948736-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Union Station",1,418940,G20906,1,1
G2,S2303-AMD-Weekday-57,3948737-S2303-AMD-Weekday-57,"Dwight Rd. via Mercy Hospital and Union Station",1,418884,G20912,1,1
G2,S2303-AMD-Weekday-57,3948738-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Union Station",1,418863,G20906,1,1
G2,S2303-AMD-Weekday-57,3948739-S2303-AMD-Weekday-57,"Dwight Rd. via Mercy Hospital and Union Station",1,418886,G20912,1,1
G2,S2303-AMD-Weekday-57,3948740-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Union Station",1,418957,G20906,1,1
G2,S2303-AMD-Weekday-57,3948741-S2303-AMD-Weekday-57,"Dwight Rd. via Mercy Hospital and Union Station",1,418940,G20912,1,1
G2,S2303-AMD-Weekday-57,3948742-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Union Station",1,418884,G20906,1,1
G2,S2303-AMD-Weekday-57,3948743-S2303-AMD-Weekday-57,"Dwight Rd. via Mercy Hospital and Union Station",1,418863,G20912,1,1
G2,S2303-AMD-Weekday-57,3948744-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Union Station",1,418886,G20906,1,1
G2,S2303-AMD-Weekday-57,3948745-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Mercy Hospital and Union Station",1,418957,G20912,1,1
G2,S2303-AMD-Weekday-57,3948746-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418886,G20911,1,1
G2,S2303-AMD-Weekday-57,3948747-S2303-AMD-Weekday-57,"Belmont/Dwight Rd/E Long Ind Park",1,418957,G20923,1,1
G2,S2303-AMD-Weekday-57,3948748-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418940,G20911,1,1
G2,S2303-AMD-Weekday-57,3948749-S2303-AMD-Weekday-57,"Dwight Rd/Benton Dr via Belmont",1,418884,G20918,1,1
G2,S2303-AMD-Weekday-57,3948750-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418863,G20911,1,1
G2,S2303-AMD-Weekday-57,3948751-S2303-AMD-Weekday-57,"Dwight Rd/Benton Dr via Belmont",1,418886,G20918,1,1
G2,S2303-AMD-Weekday-57,3948752-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418957,G20911,1,1
G2,S2303-AMD-Weekday-57,3948753-S2303-AMD-Weekday-57,"Dwight Rd/Benton Dr via Belmont",1,418940,G20918,1,1
