Operator,Model,Type,Year,Equipment ID
CTF (Cottage Street),2015 NEW FLYER XD35,conventional,2015,1714
CTF (Cottage Street),2015 NEW FLYER XD40,conventional,2015,1840
CTF (Cottage Street),2015 NEW FLYER XD40,conventional,2015,1841
CTF (Cottage Street),2015 NEW FLYER XD40,conventional,2015,1842
CTF (Cottage Street),2015 NEW FLYER XD40,conventional,2015,1843
CTF (Cottage Street),2015 NEW FLYER XD40,conventional,2015,1844
CTF (Cottage Street),2015 NEW FLYER XD40,conventional,2015,1845
CTF (Cottage Street),2015 NEW FLYER XD40,conventional,2015,1846
CTF (Cottage Street),2015 NEW FLYER XD40,conventional,2015,1847
CTF (Cottage Street),2015 NEW FLYER XD40,conventional,2015,1848
CTF (Cottage Street),2015 NEW FLYER XD40,conventional,2015,1849
CTF (Cottage Street),2018 GILLIG 40`,conventional,2018,1670
CTF (Cottage Street),2018 GILLIG 40`,conventional,2018,1671
CTF (Cottage Street),2018 GILLIG 40`,conventional,2018,1672
CTF (Cottage Street),2018 GILLIG 40`,conventional,2018,1673
CTF (Cottage Street),2020 NEW FLYER XD35,conventional,2020,1715
CTF (Cottage Street),2020 NEW FLYER XD35,conventional,2020,1716
CTF (Cottage Street),2020 NEW FLYER XD35,conventional,2020,1717
CTF (Cottage Street),2020 NEW FLYER XD35,conventional,2020,1718
CTF (Cottage Street),2020 NEW FLYER XD35,conventional,2020,1719
CTF (Cottage Street),2020 NEW FLYER XD35,conventional,2020,1720
CTF (Cottage Street),2020 NEW FLYER XD40,conventional,2020,1850
CTF (Cottage Street),2020 NEW FLYER XD40,conventional,2020,1851
CTF (Cottage Street),2020 NEW FLYER XD40,conventional,2020,1852
CTF (Cottage Street),2020 NEW FLYER XD40,conventional,2020,1853
CTF (Cottage Street),2020 NEW FLYER XD40,conventional,2020,1854
CTF (Cottage Street),2020 NEW FLYER XD40,conventional,2020,1855
CTF (Cottage Street),2020 NEW FLYER XD40,conventional,2020,1856
CTF (Cottage Street),2020 PROTERRA CATALYST BE-40 (ELECTRIC),electric,2020,1413
CTF (Cottage Street),2020 PROTERRA CATALYST BE-40 (ELECTRIC),electric,2020,1414
CTF (Cottage Street),2020 PROTERRA CATALYST BE-40 (ELECTRIC),electric,2020,1415
CTF (Cottage Street),2020 PROTERRA CATALYST BE-40 (ELECTRIC),electric,2020,1416
CTF (Cottage Street),2021 NEW FLYER XD35,conventional,2021,1721
CTF (Cottage Street),2021 NEW FLYER XD35,conventional,2021,1722
CTF (Cottage Street),2021 NEW FLYER XD35,conventional,2021,1723
CTF (Cottage Street),2021 NEW FLYER XD40,conventional,2021,1857
CTF (Cottage Street),2021 NEW FLYER XD40,conventional,2021,1858
CTF (Cottage Street),2021 NEW FLYER XD40,conventional,2021,1859
CTF (Cottage Street),2021 NEW FLYER XD40,conventional,2021,1860
CTF (Cottage Street),2021 NEW FLYER XD40,conventional,2021,1861
CTF (Cottage Street),2021 NEW FLYER XE35 (ELECTRIC),electric,2021,1320
CTF (Cottage Street),2021 NEW FLYER XE35 (ELECTRIC),electric,2021,1321
CTF (Cottage Street),2021 NEW FLYER XE35 (ELECTRIC),electric,2021,1322
CTF (Cottage Street),2021 NEW FLYER XE35 (ELECTRIC),electric,2021,1323
CTF (Cottage Street),2021 NEW FLYER XE40 (ELECTRIC),electric,2021,1420
CTF (Cottage Street),2021 NEW FLYER XE40 (ELECTRIC),electric,2021,1421
CTF (Cottage Street),2022 NEW FLYER XD35,conventional,2022,1724
CTF (Cottage Street),2022 NEW FLYER XD35,conventional,2022,1725
CTF (Cottage Street),2022 NEW FLYER XD35,conventional,2022,1726
CTF (Cottage Street),2022 NEW FLYER XD35,conventional,2022,1727
CTF (Cottage Street),2022 NEW FLYER XD35,conventional,2022,1728
CTF (Cottage Street),2022 NEW FLYER XD35,conventional,2022,1729
CTF (Cottage Street),2022 NEW FLYER XD40,conventional,2022,1862
CTF (Cottage Street),2022 NEW FLYER XD40,conventional,2022,1863
CTF (Cottage Street),2022 NEW FLYER XD40,conventional,2022,1864
CTF (Cottage Street),UMTS GILLIG,conventional,,3211
CTF (Cottage Street),UMTS NEW FLYER,conventional,,3307
CTF (Cottage Street),UMTS NEW FLYER,conventional,,3308
NTF (VATCo),2007 GILLIG 40`,conventional,2007,7610
NTF (VATCo),2008 GILLIG 35`,conventional,2008,7550
NTF (VATCo),2008 GILLIG 35`,conventional,2008,7551
NTF (VATCo),2009 GILLIG 40`,conventional,2009,7660
NTF (VATCo),,conventional,,7661
NTF (VATCo),,conventional,,7662
NTF (VATCo),2010 GILLIG 35`,conventional,2010,7552
NTF (VATCo),2011 NEW FLYER XD40,conventional,2011,7801
NTF (VATCo),,conventional,,7802
NTF (VATCo),2012 NEW FLYER XD40,conventional,2012,7811
NTF (VATCo),,conventional,,7812
NTF (VATCo),,conventional,,7813
NTF (VATCo),,conventional,,7814
NTF (VATCo),,conventional,,7815
NTF (VATCo),2013 NEW FLYER XDE60 (ARTIC) (HYBRID),hybrid,2013,7901
NTF (VATCo),,conventional,,7902
NTF (VATCo),2020 NEW FLYER XD35,conventional,2020,7553
NTF (VATCo),,conventional,,7554
NTF (VATCo),2021 NEW FLYER XD40,conventional,2021,7816
NTF (VATCo),2021 NEW FLYER XE40 (ELECTRIC),electric,2021,7700
NTF (VATCo),2022 NEW FLYER XD40,conventional,2022,7817
UMTS,2021 NEW FLYER XE40 (ELECTRIC),electric,2021,3501
UMTS,,,,3112
UMTS,,,,3115
UMTS,,,,3118
UMTS,,,,3119
UMTS,,,,3121
UMTS,,,,3122
UMTS,,,,3123
UMTS,,,,3201
UMTS,,,,3202
UMTS,,,,3203
UMTS,,,,3203
UMTS,,,,3204
UMTS,,,,3205
UMTS,,,,3212
UMTS,,,,3213
UMTS,,,,3214
UMTS,,,,3215
UMTS,,,,3221
UMTS,,,,3222
UMTS,,,,3223
UMTS,,,,3224
UMTS,,,,3225
UMTS,,,,3226
UMTS,,,,3227
UMTS,,,,3228
UMTS,,,,3301
UMTS,,,,3302
UMTS,,,,3303
UMTS,,,,3304
UMTS,,,,3305
UMTS,,,,3306
UMTS,,,,3309
UMTS,,,,3310
UMTS,,,,3311
UMTS,,,,3312
UMTS,,,,3313
UMTS,,,,3314
UMTS,,,,3315
UMTS,,,,3316
UMTS,,,,3317
UMTS,,,,3318
UMTS,,,,3319
UMTS,,,,3320
UMTS,,,,3321
UMTS,,,,3322
UMTS,,,,3323
UMTS,,,,3324
UMTS,,,,3325
UMTS,,,,3326
UMTS,,,,3401
UMTS,,,,3402
,,,,7554
