Operator,Model,Type,Year,Equipment ID
CTF (Cottage Street),Gillig 30 ,conventional,2006,1406
CTF (Cottage Street),Gillig 35,conventional,2006,1510
CTF (Cottage Street),Gillig 35,conventional,2006,1513
CTF (Cottage Street),Gillig 35,conventional,2006,1515
CTF (Cottage Street),Gillig 40,conventional,2006,1618
CTF (Cottage Street),Gillig 40,conventional,2006,1619
CTF (Cottage Street),Gillig 40,conventional,2006,1621
CTF (Cottage Street),Gillig 40,conventional,2007,1630
CTF (Cottage Street),Gillig 40,conventional,2007,1632
CTF (Cottage Street),Gillig 35,conventional,2008,1552
CTF (Cottage Street),Gillig 35,conventional,2008,1553
CTF (Cottage Street),Gillig 35,conventional,2008,1554
CTF (Cottage Street),Gillig 35,conventional,2008,1555
CTF (Cottage Street),Gillig 35,conventional,2008,1556
CTF (Cottage Street),Gillig 35,conventional,2008,1557
CTF (Cottage Street),Gillig 35,conventional,2008,1558
CTF (Cottage Street),Gillig 35,conventional,2008,1559
CTF (Cottage Street),Gillig 35,conventional,2008,1561
CTF (Cottage Street),Gillig 35,conventional,2008,1562
CTF (Cottage Street),Gillig 40,conventional,2008,1640
CTF (Cottage Street),Gillig 40,conventional,2008,1641
CTF (Cottage Street),Gillig 40,conventional,2008,1642
CTF (Cottage Street),Gillig 40,conventional,2008,1643
CTF (Cottage Street),Gillig 40,conventional,2008,1644
CTF (Cottage Street),Gillig 40,conventional,2008,1645
CTF (Cottage Street),Gillig 40,conventional,2008,1646
CTF (Cottage Street),Gillig 40,conventional,2008,1647
CTF (Cottage Street),Gillig 40,conventional,2008,1648
CTF (Cottage Street),Gillig 40,conventional,2008,1649
CTF (Cottage Street),Gillig 35,conventional,2010,1563
CTF (Cottage Street),Gillig 35,conventional,2010,1564
CTF (Cottage Street),Gillig 35,conventional,2010,1565
CTF (Cottage Street),Gillig 35,conventional,2010,1566
CTF (Cottage Street),Gillig 35,conventional,2010,1567
CTF (Cottage Street),Gillig 35,conventional,2010,1568
CTF (Cottage Street),Gillig 35,conventional,2010,1569
CTF (Cottage Street),Gillig 35,conventional,2010,1571
CTF (Cottage Street),Gillig 35,conventional,2010,1572
CTF (Cottage Street),Gillig 35,conventional,2010,1573
CTF (Cottage Street),Gillig 35,conventional,2010,1574
CTF (Cottage Street),Gillig 35,conventional,2010,1575
CTF (Cottage Street),Gillig 35,conventional,2010,1576
CTF (Cottage Street),Gillig 35,conventional,2010,1577
CTF (Cottage Street),Gillig 35,conventional,2010,1578
CTF (Cottage Street),Gillig 40,conventional,2010,1650
CTF (Cottage Street),Gillig 40,conventional,2010,1651
CTF (Cottage Street),Gillig 40,conventional,2010,1652
CTF (Cottage Street),Gillig 40,conventional,2010,1653
CTF (Cottage Street),Gillig 40,conventional,2010,1654
CTF (Cottage Street),Gillig 40,conventional,2010,1655
CTF (Cottage Street),Gillig 40,conventional,2010,1656
CTF (Cottage Street),Gillig 40,conventional,2010,1657
CTF (Cottage Street),Gillig 40,conventional,2010,1658
CTF (Cottage Street),Gillig 40,conventional,2010,1659
CTF (Cottage Street),Gillig 40,conventional,2010,1660
CTF (Cottage Street),Gillig 40,conventional,2010,1661
CTF (Cottage Street),Gillig 40,conventional,2010,1662
CTF (Cottage Street),Gillig 40,conventional,2010,1663
CTF (Cottage Street),Gillig 40,conventional,2010,1664
CTF (Cottage Street),NEW FLYER XD35,conventional,2011,1701
CTF (Cottage Street),NEW FLYER XD40,conventional,2011,1810
CTF (Cottage Street),NEW FLYER XD40,conventional,2011,1811
CTF (Cottage Street),NEW FLYER XD40,conventional,2011,1812
CTF (Cottage Street),NEW FLYER XD40,conventional,2011,1813
CTF (Cottage Street),NEW FLYER XD40,conventional,2011,1814
CTF (Cottage Street),NEW FLYER XD40,conventional,2011,1815
CTF (Cottage Street),NEW FLYER XD40,conventional,2011,1816
CTF (Cottage Street),NEW FLYER XD40,conventional,2011,1817
CTF (Cottage Street),NEW FLYER XD40,conventional,2011,1818
CTF (Cottage Street),NEW FLYER XD40,conventional,2011,1819
CTF (Cottage Street),NEW FLYER XDE40,hybrid,2011,1801
CTF (Cottage Street),NEW FLYER XDE40,hybrid,2011,1802
CTF (Cottage Street),NEW FLYER XDE40,hybrid,2011,1803
CTF (Cottage Street),NEW FLYER XDE40,hybrid,2011,1804
CTF (Cottage Street),NEW FLYER XDE40,hybrid,2011,1805
CTF (Cottage Street),NEW FLYER XD40,conventional,2012,1821
CTF (Cottage Street),NEW FLYER XD40,conventional,2012,1822
CTF (Cottage Street),NEW FLYER XD40,conventional,2012,1823
CTF (Cottage Street),NEW FLYER XD40,conventional,2012,1824
CTF (Cottage Street),NEW FLYER XD40,conventional,2012,1825
CTF (Cottage Street),NEW FLYER XD40,conventional,2012,1826
CTF (Cottage Street),NEW FLYER XD40,conventional,2014,1830
CTF (Cottage Street),NEW FLYER XD40,conventional,2014,1831
CTF (Cottage Street),NEW FLYER XD40,conventional,2014,1832
CTF (Cottage Street),NEW FLYER XD40,conventional,2014,1833
CTF (Cottage Street),NEW FLYER XD40,conventional,2014,1834
CTF (Cottage Street),NEW FLYER XD40,conventional,2014,1835
CTF (Cottage Street),NEW FLYER XD40,conventional,2014,1836
CTF (Cottage Street),NEW FLYER XD40,conventional,2014,1837
CTF (Cottage Street),NEW FLYER XD35,conventional,2015,1710
CTF (Cottage Street),NEW FLYER XD35,conventional,2015,1711
CTF (Cottage Street),NEW FLYER XD35,conventional,2015,1712
CTF (Cottage Street),NEW FLYER XD35,conventional,2015,1713
CTF (Cottage Street),NEW FLYER XD35,conventional,2015,1714
CTF (Cottage Street),NEW FLYER XD40,conventional,2015,1840
CTF (Cottage Street),NEW FLYER XD40,conventional,2015,1841
CTF (Cottage Street),NEW FLYER XD40,conventional,2015,1842
CTF (Cottage Street),NEW FLYER XD40,conventional,2015,1843
CTF (Cottage Street),NEW FLYER XD40,conventional,2015,1844
CTF (Cottage Street),NEW FLYER XD40,conventional,2015,1845
CTF (Cottage Street),NEW FLYER XD40,conventional,2015,1846
CTF (Cottage Street),NEW FLYER XD40,conventional,2015,1847
CTF (Cottage Street),NEW FLYER XD40,conventional,2015,1848
CTF (Cottage Street),NEW FLYER XD40,conventional,2015,1849
CTF (Cottage Street),Gillig 40,conventional,2018,1670
CTF (Cottage Street),Gillig 40,conventional,2018,1671
CTF (Cottage Street),Gillig 40,conventional,2018,1672
CTF (Cottage Street),Gillig 40,conventional,2018,1673
CTF (Cottage Street),NEW FLYER XD35,conventional,2020,1715
CTF (Cottage Street),NEW FLYER XD35,conventional,2020,1716
CTF (Cottage Street),NEW FLYER XD35,conventional,2020,1717
CTF (Cottage Street),NEW FLYER XD35,conventional,2020,1718
CTF (Cottage Street),NEW FLYER XD35,conventional,2020,1719
CTF (Cottage Street),NEW FLYER XD35,conventional,2020,1720
CTF (Cottage Street),NEW FLYER XD40,conventional,2020,1850
CTF (Cottage Street),NEW FLYER XD40,conventional,2020,1851
CTF (Cottage Street),NEW FLYER XD40,conventional,2020,1852
CTF (Cottage Street),NEW FLYER XD40,conventional,2020,1853
CTF (Cottage Street),NEW FLYER XD40,conventional,2020,1854
CTF (Cottage Street),NEW FLYER XD40,conventional,2020,1855
CTF (Cottage Street),NEW FLYER XD40,conventional,2020,1856
CTF (Cottage Street),PROTERRA CATALYST BE-40,electric,2020,1413
CTF (Cottage Street),PROTERRA CATALYST BE-40,electric,2020,1414
CTF (Cottage Street),PROTERRA CATALYST BE-40,electric,2020,1415
CTF (Cottage Street),PROTERRA CATALYST BE-40,electric,2020,1416
CTF (Cottage Street),NEW FLYER XD35,conventional,2021,1721
CTF (Cottage Street),NEW FLYER XD35,conventional,2021,1722
CTF (Cottage Street),NEW FLYER XD35,conventional,2021,1723
CTF (Cottage Street),NEW FLYER XD40,conventional,2021,1857
CTF (Cottage Street),NEW FLYER XD40,conventional,2021,1858
CTF (Cottage Street),NEW FLYER XD40,conventional,2021,1859
CTF (Cottage Street),NEW FLYER XD40,conventional,2021,1860
CTF (Cottage Street),NEW FLYER XD40,conventional,2021,1861
CTF (Cottage Street),NEW FLYER XE35,electric,2021,1320
CTF (Cottage Street),NEW FLYER XE35,electric,2021,1321
CTF (Cottage Street),NEW FLYER XE35,electric,2021,1322
CTF (Cottage Street),NEW FLYER XE35,electric,2021,1323
CTF (Cottage Street),NEW FLYER XE40,electric,2021,1420
CTF (Cottage Street),NEW FLYER XE40,electric,2021,1421
CTF (Cottage Street),NEW FLYER XD35,conventional,2022,1724
CTF (Cottage Street),NEW FLYER XD35,conventional,2022,1725
