stopid,lat,lon
270,42.31155,-72.42308
271,42.30482,-72.52829
272,42.3042,-72.52811
273,42.29848,-72.4159
274,42.29847,-72.41604
276,42.29067,-72.40834
277,42.28916,-72.53566
278,42.29031,-72.40811
280,42.2891,-72.53544
283,42.284965,-72.656216
284,42.284953,-72.6561
286,42.28249,-72.55357
287,42.28235,-72.55361
290,42.26336,-72.58248
291,42.27965,-72.40238
292,42.276121,-72.657537
293,42.27591,-72.657847
294,42.2776,-72.40081
296,42.27417,-72.661839
297,42.27403,-72.66193
300,42.2724,-72.66721
302,42.27121,-72.67209
306,42.26992,-72.56603
307,42.26978,-72.56593
308,42.267014,-72.66998
313,42.26587,-72.66934
314,42.265601,-72.66899
317,42.26415,-72.66421
318,42.26399,-72.66396
320,42.26157,-72.5728
323,42.25802,-72.5759
324,42.258003,-72.572995
329,42.257632,-72.575847
333,42.25666,-72.572209
336,42.254254,-72.574107
338,42.254083,-72.576489
345,42.23573,-72.58334
350,42.22068,-72.59087
351,42.22036,-72.59097
353,42.21756,-72.59197
354,42.21611,-72.61932
355,42.21616,-72.59339
356,42.2159,-72.62027
357,42.21611,-72.59331
358,42.21538,-72.5945
359,42.21397,-72.61782
360,42.2134,-72.62079
361,42.21328,-72.62329
362,42.21312,-72.62787
363,42.21304,-72.62031
364,42.21277,-72.62967
365,42.21216,-72.57213
367,42.21092,-72.62292
368,42.21083,-72.62543
369,42.21073,-72.62926
370,42.21085,-72.60826
371,42.21069,-72.60945
372,42.21049,-72.60699
373,42.2102,-72.61965
374,42.21028,-72.60564
376,42.20952,-72.6205
377,42.20961,-72.60582
380,42.20862,-72.61972
381,42.20831,-72.61618
383,42.20851,-72.57368
386,42.207074,-72.646238
387,42.20694,-72.60766
388,42.20704,-72.59589
390,42.20683,-72.61347
391,42.2068,-72.59833
393,42.20653,-72.60939
394,42.2061,-72.60582
398,42.20576,-72.60888
404,42.2054,-72.61081
406,42.2054,-72.60026
408,42.20516,-72.61081
412,42.20474,-72.60984
413,42.2046,-72.59638
414,42.20436,-72.61155
415,42.20428,-72.61797
416,42.2042,-72.61848
417,42.20456,-72.60299
418,42.20493,-72.50985
